Time Stamp;Name;Message
2:10;enz1697;toastyDSG toastyDSG toastyDSG
2:11;littlejellypig;Best itzy song
2:12;kuushoi;IntotheAyayalandtheWeebsarmymarchComradesstandsidebysidetostoptheNormanschargeandNammers toastyDSG  IntotheAyayalandtheWeebsarmymarchComradesstandsidebysidetostoptheNormanschargeandNammers toastyDSG  IntotheAyayalandtheWeebsarmymarchComradesstandsidebysidetostoptheNormanschargeandNammers toastyDSG  IntotheAyayalandtheWeebsarmymarchComradesstandsidebysidetostoptheNormanschargeandNammers toastyDSG  IntotheAyayalandtheWeebsarmymarchComradesstandsidebysidetostoptheNormanschargeandNammers toastyDSG
2:12;tortkey;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:12;are_yea;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:12;bryan00799;The 4-2 is how many loses.
2:14;tortkey;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:15;ny_vx;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:15;ukgyjbggb;toastyDSG toastyDSG toastyDSG toastyDSG
2:17;darellkisaragi;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:18;bryan00799;??
2:19;valorantnutsack;toastyDSG
2:20;the_abrar_hasanat;toastyDSG toastyDSG toastyDSG toastyDSG
2:20;enz1697;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:20;khumza;toastyDSG toastyDSG toastyDSG toastyDSG
2:21;tortkey;toastyDSG toastyDSG toastyDSG
2:22;harrietthugmann;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:22;zooeeyyc;DALLA 
2:23;tortkey;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:24;tortkey;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:25;zanvzz;ayayayayyyay
2:28;blikooo;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:29;despair_love;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:30;zooeeyyc;toastyDSG toastyDSG toastyDSG
2:31;lqtoya;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:31;sheikh_jp;toastyDSG toastyDSG toastyDSG
2:31;z3noa;toastyDSG
2:33;sammi1331;@bryan00799 2 :)
2:33;kangiten1;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:35;its_wulftan;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:36;lqtoya;toastyDSG
2:37;thefeeltrain;toastyDSG
2:38;xxastroblithexx;WHEN DOES RHE STREAM USUALLY START??
2:39;mango_muffin_;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:41;hizzzennn;ITZYYYYYYY toastyPOGU
2:41;kyrpto;toastyDSG
2:43;yawnieke;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:43;mango_muffin_;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:43;callmekevan;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:45;loona_fps;toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG
2:48;bryan00799;@sammi1331 so 4 wins?:o
2:49;mango_muffin_;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:50;smallpeepeehaver;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:52;intensrabbit;Wahooooo
2:53;k_inozaku;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:55;mango_muffin_;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
2:55;cikensymphony;CikenSymphony subscribed at Tier 1. They've subscribed for 9 months! 
3:01;mango_muffin_;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:01;xkillo147;toastyDSG
3:02;7dreamz;toastyDSG  danse  toastyDSG 
3:05;itisandu;Pog
3:07;joel_mesloej;toastyPOGU
3:09;christopoole;christopoole gifted a Tier 1 sub to callmekevan! This is their first Gift Sub in the channel! 
3:09;waywardtaco9;toastyDSG toastyDSG toastyDSG toastyDSG
3:10;its_wulftan;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:10;rastee18;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:11;dhairya1997;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:12;sivakh;toastyDSG
3:12;shrubzmcgee;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:14;76_noah;toastyDSG toastyDSG toastyDSG toastyDSG
3:14;hizzzennn;i love myselffffffffff
3:15;lerve_a;keep your heads up toastyDSG toastyDSG
3:15;itskevvykev;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:16;ishannath;toastyDSG toastyDSG toastyDSG toastyDSG
3:16;loona_fps;dalla dalla yeeeaaaah 
3:17;enz1697;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:18;tigerclaw0o2;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:19;halfsatsuma3;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG LUL
3:21;dhairya1997;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:22;spence_fence;toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyTHICC toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:23;mohit_patil;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:23;thetofukofu;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:24;are_yea;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:27;purehonest;wideVIBE
3:28;joel_mesloej;toastyPOG
3:28;kangiten1;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:30;trxthpower;hi
3:30;aybukee3;Itzy Right? Let's gooooooOoO
3:31;loona_fps;toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG <3 toastyDSG
3:34;wxreesing;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:35;darellkisaragi;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:37;joel_mesloej;toastyPAUSE
3:37;rayray98;toastyDSG
3:41;mohit_patil;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:42;blikooo;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:43;loona_fps;GlitchCat
3:46;joseosorio21234;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
3:48;therealnp469;toastyDSG toastyDSG toastyDSG toastyDSG
3:50;ashubropro;Jai ho
3:50;aybukee3;How are you
3:50;captaingulte;yo
3:50;mohit_patil;toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG toastyDSG
